ayishah, عائشة
aisha, عائشة
aishah, عائشة
ayesha, عائشة
ayeshah, عائشة
a'isha, عائشة
'aisha, عائشة
ali, عالي
aminah, آمنة أمينة
amir, عامر آمر 
aamir, عامر
abbas, عبّاس
abdullah, عبد الله
abdulla, عبد الله
abrar, أبرار
abu, أبو
adam, آدم
adnan, عدنان
afif, عفيف
ahmad, أحمد
ahmed, أحمد
aiman, أيمن 
ayman, أيمن
akilah, عقيلة عاقلة
aqila, عقيلة عاقلة
alia, علياء
alya, علياء
aliya, عليّة
aliyah, عليّة
aliyya, عليّة
aliyyah, عليّة
amin, أمين
amirah, أميرة
amira, أميرة
ammar, عمّار
anas, أنس
anis, أنيس
anwar, انصار
aqil, عاقل عقيل
arif, عارف
asma, أسمى
zulaikha, زليخا
zulekha, زليخا
zulaykha, زليخا
zubaidah, زبيدة
zubaida, زبيدة
zainab, زينب
zaynab, زينب
zaman, زمان
zaki, زكيّ
zakiah, زكيّة
zakaria, زَكَرِيّا
zakariya, زَكَرِيّا
zakariyya, زَكَرِيّا
zain, زين
zayn, زين
zaid, زيد
zayd, زيد
noor, نور 
nur, نور 
nor, نور 
noora, نورة نورا
nora, نورا نورة
norah, نورا نورة
noura, نورا نورة
nuha, نهى
nurul, نور ال (asalnya nur al-) 
omar, عمر
umar, عمر
othman, عثمان
uthman, عثمان
ramlah, رملة
rashid, راشد رشيد
rashed, راشد رشيد
rasheed, راشد رشيد
rauf, رؤوف
ridhwan, رضوان
ridwan, رضوان
rizwan, رضوان
ruqayya, رقيّة
ruqayyah, رقيّة
rokiah, رقيّة
sabri, صبريّ
safiyah, صفيّة
safiyyah, صفيّة
safiya, صفيّة
saiful, سيف ال (asalnya sayf al-)
saifullah, سيف الله
sakinah, سكينة
sakina, سكينة
saleem, سليم سالم 
salim, سليم سالم
salih, صالح
salleh, صالح
saleh, صالح
salha, صالحة
salima, سليمة
salimah, سليمة
salma, سلمى
samad, صمد
sarah, سارة
sara, سارة
shafiq, شفيق
shafiqah, شفيقة
shafiqa, شفيقة
shahira, شهيرة
shakir, شاكر
shamil, شاميل
shamsuddin, شَمس الدين
sharifah, شريفة
sharifa, شريفة
sharif, شريف
suraya, ثريّا ثريّة
taha, طه
tasnim, تسنيم
taufik, توفيق
toufik, توفيق
umar, عمر
omar, عمر
